#hours,days,lat,lon,start,duration
6,1,52.207735870361326,5.791569137573242,1483336223986,2.2
6,1,52.20778164672852,5.791516208648681,1483336230686,4.9
6,1,52.21239743041992,5.793555164337158,1483336517288,5.1
6,1,52.21239743041992,5.7935546874999995,1483336525888,1.8
6,1,52.21522793579102,5.790602111816406,1483336610688,1.2
6,1,52.21264157104492,5.793620014190673,1483336645889,6.2
6,1,52.21561322021485,5.788823986053466,1483336655289,11.5
6,1,52.2160061340332,5.785623455047606,1483336699589,21.3
6,1,52.216502044677725,5.782335186004638,1483336754889,17.8
7,1,52.21618161010742,5.778775119781494,1483336812290,3.7
7,1,52.216158721923826,5.778770351409912,1483336818490,8.4
7,1,52.21581539916992,5.772684001922606,1483336887190,2.4
7,1,52.20717510986328,5.773560428619384,1483337081191,10.4
7,1,52.20448574829102,5.775874042510986,1483337171592,37.2
7,1,52.20444378662109,5.775848293304443,1483337209692,13.2
7,1,52.212550018310544,5.793591403961181,1483338328000,0.4
7,1,52.21256527709961,5.793597602844238,1483338332300,1.8
7,1,52.216029022216794,5.786107921600341,1483338464501,11.3
7,1,52.21652111816406,5.782503986358643,1483338520501,20.301
7,1,52.21613583374024,5.7776216506958,1483338589802,9.8
7,1,52.21578869628906,5.772742176055908,1483338643502,23.101
7,1,52.20743832397461,5.771331691741943,1483338803504,9.0
7,1,52.20725140380859,5.773255729675292,1483338858005,5.2989999999999995
7,1,52.20652279663086,5.775167369842528,1483338893405,12.6
7,1,52.20650372314453,5.775170707702636,1483338906205,0.2
7,1,52.202296112060544,5.780879402160643,1483339181307,7.2
7,1,52.21252713012695,5.793561363220214,1483340175915,25.901
7,1,52.2151630859375,5.790375614166259,1483340281616,19.3
7,1,52.21546826171875,5.7888621330261225,1483340321617,20.1
7,1,52.21589932250977,5.785855197906494,1483340382017,22.6
8,1,52.21651348876953,5.782304191589355,1483340441318,11.4
8,1,52.20650372314453,5.7752112388610835,1483340704720,17.4
8,1,52.204474304199216,5.775908374786376,1483340789421,49.1
8,1,52.204459045410154,5.775871658325195,1483340840321,33.9
8,1,52.21142086791992,5.7909397125244135,1483341113723,13.3
8,1,52.21290478515625,5.793047332763671,1483341171024,14.3
8,1,52.215453002929685,5.790672206878662,1483341986231,2.5
8,1,52.21542248535156,5.7889255523681635,1483342017431,0.9
8,1,52.215845916748044,5.77295389175415,1483342274733,11.9
8,1,52.215811584472654,5.772585773468018,1483342296633,5.2
8,1,52.2124775390625,5.770057106018066,1483342352734,2.1
8,1,52.20744595336914,5.771354579925537,1483342438234,10.5
8,1,52.204703186035154,5.776043319702148,1483342563935,11.4
8,1,52.20799145507813,5.781205558776855,1483342710336,22.701
8,1,52.20817456054688,5.781299018859863,1483342744437,3.1
8,1,52.20826992797852,5.781430625915527,1483342759437,9.3
8,1,52.20827374267578,5.781451606750488,1483342769737,0.9
8,1,52.208285186767576,5.781444454193115,1483342774237,1.1
8,1,52.21302685546875,5.793184661865233,1483343070539,5.4
8,1,52.21242413330078,5.793499851226806,1483343726044,32.701
8,1,52.215174530029294,5.790590667724608,1483343844345,1.1
8,1,52.215418670654294,5.7888878822326655,1483343885646,6.4
8,1,52.21582302856445,5.787576580047606,1483343919646,0.2
8,1,52.21592221069336,5.7856859207153315,1483343944147,31.199
9,1,52.216437194824216,5.782149696350097,1483344009747,10.7
9,1,52.215792510986326,5.773122215270996,1483344104947,9.601
9,1,52.20744213867188,5.771292114257811,1483344250349,13.3
9,1,52.206454132080076,5.775105381011962,1483344335849,36.0
9,1,52.202216003417966,5.7796505928039545,1483344628151,2.201
